issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
6610494,0,4,0,0,5,27,15.03,,6,52,58,4862,1
54878258,0,2,0,0,5,36,25.19,0,1,1,3,4445,1
55317808,1,0,0,0,9,27,19.96,0,1,1,2,4445,1
1426746,,,,,,,,,2,12,13,3849,1
11231092,0,0,0,0,3,64,12.43,32,1,4,0,6506,1
11352073,0,0,0,0,4,21,21.76,591,1,163,0,8911,1
7267845,,,,,,,,0,2,17,16,37020,1
10314862,,,,,,,,0,5,42,28,37020,1
3256816,0,0,0,0,5,27,9.64,,1,5,1,37020,1
50753672,0,1,0,0,5,12,9.38,100,2,5,0,6199,1
13574338,0,1,0,0,5,8,63,0,1,1,1,6199,1
15283588,0,0,0,1,7,0,-15.81,112,2,5,5,6199,1
2832605,0,1,0,0,4,2,10,,2,3,3,4295,1
3221502,0,0,0,0,8,26,12.63,,1,1,1,30181,1
3438100,1,0,0,0,16,74,12.89,,1,1,0,30181,1
11385090,0,1,0,0,9,35,44.72,0,1,34,26,50951,1
10258893,2,3,0,0,9,188,17.07,0,10,23,16,50951,1
25238431,0,1,0,0,2,21,14.21,0,1,1,1,2969,1
26808593,0,0,0,0,7,7,47.97,190,1,0,1,80973,1
28330744,3,0,0,0,4,14,8.23,161,1,1,1,80973,1
35335859,1,0,0,0,6,37,22.64,0,1,29,7,80973,1
56262496,0,1,0,0,8,40,18.4,20,7,78,2,15832,1
59841017,0,1,0,0,4,4,95.7,0,1,2,1,15832,1
59069011,0,0,0,0,4,27,11.36,0,5,42,26,2450,1
16952798,0,2,0,0,7,71,8.72,0,3,116,9,44138,1
33260308,0,0,0,0,7,65,15.22,0,45,444,313,44138,1
16601870,0,0,0,2,9,91,35.81,0,6,34,21,44138,1
21351703,0,1,0,0,6,10,6.18,0,2,13,1,44138,1
18190873,0,0,0,0,8,102,14,0,3,14,0,44138,1
64151080,0,0,0,0,9,61,45.78,0,4,30,38,44138,1
21269809,0,0,0,0,2,24,5.98,0,1,3,0,44138,1
16622119,0,0,0,0,5,19,20.59,0,6,97,32,44138,1
26074081,1,0,0,0,3,0,-15.81,0,1,4,0,44138,1
23266840,1,1,0,0,7,8,8.66,0,1,1,1,10526,1
44989263,0,2,0,0,6,21,18.62,0,3,112,2,17330,1
18900897,0,3,0,0,10,5,2.64,3060,3,34,3,34462,1
60144093,0,0,0,0,5,31,11.42,0,1,0,4,9830,1
45355923,1,1,0,0,2,72,9.59,30,32,187,183,9830,1
