id,issue_id,project_url,issue_url,commit,type,number_attempt_newcomer,whether_solved_by_newcomer,author_name,commit_created_at,exper,longterm,resolve_time_days
11756715,1283,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/1283,45bbb0eb9f611cccfec8df954229d2dcf42ce864,echancement,1,TRUE,Tomasz Ol_dzki,2015-07-18 21:40:49 UTC,0,0,301.29
56327791,15369,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/15369,e509db8c564a660231cc09afef3d900f58201afc,echancement,3,TRUE,dicearr,2017-10-23 09:28:52 UTC,0,0,40.67
68839862,10613,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10613,33cc80760ad22c3984b370fbb610d2f550359f6c,echancement,1,TRUE,mrahman1122,2018-03-13 04:22:38 UTC,0,0,1.33
41435068,562,https://api.github.com/repos/geocoder-php/Geocoder,https://github.com/geocoder-php/Geocoder/issues/562,a5572611b9820a80f0abc416242e1e383e97e444,enchacement,1,TRUE,Amrouche Hamza,2016-12-24 00:05:06 UTC,0,0,1.13
26685186,5095,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/5095,4b02902ba74b075bf2c98ad93dbe7c07cabe6eb3,enchacement,1,TRUE,EricHenry,2016-01-30 20:56:30 UTC,0,0,1.17
68671426,1490,https://api.github.com/repos/ansible/awx,https://github.com/ansible/awx/issues/1490,9b5e088d703efdc831a9cd6d3081a775eebc5f09,enchacement,1,TRUE,paihu,2018-03-12 11:33:37 UTC,0,1,3.42
59023257,6535,https://api.github.com/repos/babel/babel,https://github.com/babel/babel/issues/6535,04d2c030be2ecbbcdfc664b6ef16ef5f23eb0b20,new feature,1,TRUE,Jakub Beneš,2017-10-29 02:44:15 UTC,0,0,5.92
25579161,622,https://api.github.com/repos/badges/shields,https://github.com/badges/shields/issues/622,396fd494b11ba40d30346df2b2b91ee4b0cf108b,new feature,1,TRUE,Mikko Piuhola,2017-10-18 20:00:50 UTC,0,0,655.17
26232785,4759,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/4759,f2bd9cddee3be220f00527e9a08f0ea78e7bb88b,documentation,1,TRUE,Vaibhav,2016-02-12 15:18:21 UTC,0,0,24.04
67477483,10672,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/10672,5c98de1a59c24228d6102319e76b70a0d3b1d84f,documentation,1,TRUE,Chady Kamar,2018-02-24 13:42:44 UTC,0,0,1.88
47929282,12516,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/12516,f2e62b52385ff5e778d997ba86db70975e5670c7,documentation,2,TRUE,Suixinlei,2017-12-16 13:19:16 UTC,0,0,240.79
68661617,10574,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10574,01bab2f940ab2a1d5e0e218f4922136c44caca02,documentation,1,TRUE,Thomas Kwak,2018-03-09 13:40:55 UTC,0,0,0.63
59434148,10031,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/10031,5cf3fb70a1a476be79d262ce8bff4cee73b72401,documentation,1,TRUE,Muayyad Alsadi,2017-10-28 00:07:03 UTC,0,0,0.13
22579749,3313,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/3313,b9279aa19316f363e4f49dd0a4e0cdbf87be6139,documentation,1,TRUE,Balázs Galambosi,2015-10-10 20:23:05 UTC,0,0,0.17
54550273,14804,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/14804,447715543b5f80cbee6496657179f1393a631fbf,documentation,1,TRUE,Adina Shanholtz,2017-08-15 16:16:14 UTC,0,0,2.13
43038283,7984,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/7984,de9f1a0ccb443952c44bc19c415c36a577e3ef6b,documentation,1,TRUE,Zander Mackie,2017-04-06 16:31:49 UTC,0,1,70.08
32638132,7099,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/7099,384dafe4c9d5fe1e39e74d91d6e7eebeed405415,documentation,1,TRUE,Wes Tyler,2016-12-01 15:03:55 UTC,0,0,182.63
61164496,10916,https://api.github.com/repos/ipython/ipython,https://github.com/ipython/ipython/issues/10916,a4c3ec892f2635ad074252dd073c4fc1d9aa40e4,documentation,1,TRUE,Corey McCandless,2017-12-07 15:29:06 UTC,0,5,15.96
56312875,15364,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/15364,371d1db60cad72f629992df20e347abab56fea5b,documentation,1,TRUE,NiveditN,2017-10-09 12:49:07 UTC,0,1,26.92
59613972,16625,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/16625,845633a7c62ad9ffd33880a43e05a49382bb76bb,documentation,1,TRUE,Jose M. Palacios Diaz,2017-11-06 17:22:42 UTC,0,1,6.79
31807540,6752,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/6752,23b9625c84e702f17b010bb653df132154ab6cad,documentation,1,TRUE,Christopn Noelke,2016-09-17 11:03:04 UTC,0,0,126.42
59402802,9526,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/9526,b96fb318f8dd63937df74458b67f7bfb46ddeb66,documentation,1,TRUE,PiIsFour,2018-01-18 04:43:09 UTC,0,0,82.63
29456322,4314,https://api.github.com/repos/Theano/Theano,https://github.com/Theano/Theano/issues/4314,4b99c84173e13c08bdd73208dcc409ea4905c02d,refractor���������ƶ���,1,TRUE,yobibyte,2016-03-31 23:18:08 UTC,0,6,1.38
61997482,6965,https://api.github.com/repos/babel/babel,https://github.com/babel/babel/issues/6965,9cc0a26694df2a5af508689d7f7b145e7ca483a5,refractor���������ƶ���,1,TRUE,Peri Nikhil,2017-12-13 20:38:19 UTC,0,1,9.75
40326467,6710,https://api.github.com/repos/prestodb/presto,https://github.com/prestodb/presto/issues/6710,b804d9cfc3a46f1a500fcdad5a478e207d565e99,,1,TRUE,Piotr Findeisen,2017-01-03 16:03:57 UTC,0,652,
